Date,Close
12/9/2019,175.18
12/10/2019,173.98
12/11/2019,174.99
12/12/2019,175.07
12/13/2019,178.93
12/16/2019,179.3
12/17/2019,180.47
12/18/2019,181.27
12/19/2019,183.39
12/20/2019,183.45
12/23/2019,182.26
12/24/2019,182.84
12/26/2019,183.49
12/27/2019,182.89
12/30/2019,181.35
12/31/2019,182.56
1/2/2020,185.67
1/3/2020,184.4
1/6/2020,187.97
1/7/2020,187.37
1/8/2020,188.86
1/9/2020,191.37
1/10/2020,190.44
1/13/2020,193.3
1/14/2020,191.31
1/15/2020,194.38
1/16/2020,195.95
1/17/2020,198.62
1/21/2020,198.79
1/22/2020,200.06
1/23/2020,199.78
1/24/2020,198.77
1/27/2020,195.5
1/28/2020,198.03
1/29/2020,199.27
1/30/2020,200.04
1/31/2020,195.45
2/3/2020,198.06
2/4/2020,202.94
2/5/2020,200.65
2/6/2020,201.67
2/7/2020,200.79
2/10/2020,204.64
2/11/2020,203.18
2/12/2020,201.65
2/13/2020,202.73
2/14/2020,206.37
2/18/2020,207.07
2/19/2020,206.98
2/20/2020,208.47
2/21/2020,204.39
2/24/2020,200.42
2/25/2020,191.2
2/26/2020,189.65
2/27/2020,183.75
2/28/2020,183.97
3/2/2020,192.39
3/3/2020,187.58
3/4/2020,193.92
3/5/2020,185.73
3/6/2020,179.56
3/9/2020,164.75
3/10/2020,181.77
3/11/2020,172.15
3/12/2020,157.11
3/13/2020,172.99
3/16/2020,139.83
3/17/2020,147.81
3/18/2020,134.56
3/19/2020,130.52
3/20/2020,119
3/23/2020,116.07
3/24/2020,141.23
3/25/2020,146.7
3/26/2020,152.87
3/27/2020,144.96
3/30/2020,151.23
3/31/2020,144.23
4/1/2020,133.11
4/2/2020,130.69
4/3/2020,126.3
4/6/2020,143.74
4/7/2020,141.07
4/8/2020,149.29
4/9/2020,151.03
4/13/2020,143.66
4/14/2020,146.29
4/15/2020,140.78
4/16/2020,141
4/17/2020,154.88
4/20/2020,148.21
4/21/2020,141.29
4/22/2020,147.62
4/23/2020,147.26
4/24/2020,153.01
4/27/2020,158.83
4/28/2020,162.87
4/29/2020,169.82
4/30/2020,166.02
5/1/2020,161.64
5/4/2020,162.41
5/5/2020,166.95
5/6/2020,170.1
5/7/2020,174.76
5/8/2020,175.04
5/11/2020,172.69
5/12/2020,167.32
5/13/2020,162.96
5/14/2020,164.31
5/15/2020,169.87
5/18/2020,180.1
5/19/2020,179.91
5/20/2020,180.47
5/21/2020,176.41
5/22/2020,176.75
5/26/2020,177.43
5/27/2020,177.75
5/28/2020,177.94
5/29/2020,179.49
6/1/2020,181.68
6/2/2020,181.38
6/3/2020,189.11
6/4/2020,183.51
6/5/2020,189.4
6/8/2020,189.78
6/9/2020,185.45
6/10/2020,189.02
6/11/2020,175.42
6/12/2020,178.58
6/15/2020,180.02
6/16/2020,185.93
6/17/2020,180.97
6/18/2020,180.44
6/19/2020,176.08
6/22/2020,177.28
6/23/2020,177.21
6/24/2020,166.91
6/25/2020,167.56
6/26/2020,162.92
6/29/2020,166.57
6/30/2020,169.62
7/1/2020,171.49
7/2/2020,171.46
7/6/2020,171.07
7/7/2020,167.56
7/8/2020,168.42
7/9/2020,164.16
7/10/2020,164.54
7/13/2020,160.77
7/14/2020,163.05
7/15/2020,169.22
7/16/2020,166.55
7/17/2020,171.88
7/20/2020,174.1
7/21/2020,174.05
7/22/2020,177.8
7/23/2020,174.99
7/24/2020,172.63
7/27/2020,174.29
7/28/2020,171.87
7/29/2020,177.36
7/30/2020,176.08
7/31/2020,178.02
8/3/2020,179.04
8/4/2020,174.23
8/5/2020,174.34
8/6/2020,176.5
8/7/2020,174.83
8/10/2020,170.26
8/11/2020,170.93
8/12/2020,173
8/13/2020,173.4
8/14/2020,172.5
8/17/2020,172.27
8/18/2020,170.1
8/19/2020,169.45
8/20/2020,167.76
8/21/2020,168.18
8/24/2020,172.32
8/25/2020,173.89
8/26/2020,175.18
8/27/2020,174.63
8/28/2020,177.27
8/31/2020,176.62
9/1/2020,179.67
9/2/2020,184.85
9/3/2020,177.24
9/4/2020,172.56
9/8/2020,167.09
9/9/2020,169.15
9/10/2020,168.19
9/11/2020,166.27
9/14/2020,170.19
9/15/2020,173.15
9/16/2020,175.79
9/17/2020,181.48
9/18/2020,179.2
9/21/2020,175.56
9/22/2020,179.86
9/23/2020,174.78
9/24/2020,172.43
9/25/2020,175
9/28/2020,178.56
9/29/2020,177.5
9/30/2020,177.58
10/1/2020,179.24
10/2/2020,178.43
10/5/2020,176.52
10/6/2020,174.92
10/7/2020,176.81
10/8/2020,181.55
10/9/2020,183.78
